,0,1,2,3
0,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,519,27.0
1,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,521,28.0
2,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,522,29.0
3,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,1711,27.0
4,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,1718,32.63
5,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,2253,31.47833333333333
6,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,2254,29.19333333333333
7,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,2256,29.936666666666667
8,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,2257,28.715
9,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,880,2258,31.083333333333332
10,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,519,27.0
11,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,521,28.0
12,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,522,29.0
13,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,1711,27.0
14,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,1718,32.63
15,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,2253,31.47833333333333
16,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,2254,29.19333333333333
17,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,2256,29.936666666666667
18,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,2257,28.715
19,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,881,2258,31.083333333333332
20,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,519,27.0
21,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,521,28.0
22,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,522,29.0
23,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,1711,27.0
24,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,1718,32.63
25,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,2253,31.47833333333333
26,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,2254,29.19333333333333
27,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,2256,29.936666666666667
28,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,2257,28.715
29,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,883,2258,31.083333333333332
30,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,519,27.0
31,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,521,28.0
32,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,522,29.0
33,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,1711,27.0
34,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,1717,79.0
35,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,1718,32.63
36,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,1720,81.0
37,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,2253,31.47833333333333
38,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,2254,29.19333333333333
39,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,2256,29.936666666666667
40,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,2257,28.715
41,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,884,2258,31.083333333333332
42,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,519,27.0
43,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,521,28.0
44,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,522,29.0
45,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,1711,27.0
46,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,1717,49.0
47,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,1718,32.63
48,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,1720,51.0
49,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,1830,55.245
50,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,1831,52.861666666666665
51,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,2253,31.47833333333333
52,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,2254,29.19333333333333
53,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,2256,29.936666666666667
54,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,2257,28.715
55,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,2258,31.083333333333332
56,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,2259,33.485
57,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,938,2260,51.0
58,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,519,27.0
59,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,521,28.0
60,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,522,29.0
61,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,1711,27.0
62,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,1718,32.63
63,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,1830,55.245
64,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,1831,52.861666666666665
65,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,2253,31.47833333333333
66,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,2254,29.19333333333333
67,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,2256,29.936666666666667
68,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,2257,28.715
69,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,2258,31.083333333333332
